data_type,setting_data,created_date,updated_date,created_by,page_setting_id,section
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:41,2023-12-06 13:09:19," ",2005,left pannel
data_type,setting_data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",2004,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",2003,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",2002,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",2001,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",2000,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1998,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1997,left pannel
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1996,left pannel
data_type,setting_data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1995,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1994,sample 30 Nov Data
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1993,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1992,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1991,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1990,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1989,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1988,left pannel
data_type,setting_data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1987,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1986,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1985,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1984,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1983,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1982,left pannel
data_type,setting_data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1981,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1980,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1979,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1978,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1977,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1976,sample 30 Nov Data
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1975,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1974,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1973,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1972,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1971,left pannel
logo,uploads/Home/files/logo/1701766282766341722.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1970,footer email symbol logo
logo,uploads/Home/files/logo/1701766269025024929.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1969,footer email symbol logo
logo,uploads/Home/files/logo/1701763423131661892.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1968,header top logo
,,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1967,
text,welcome to website,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1966,left pannel header
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1965,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",1964,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:40,2023-12-06 13:09:19," ",1963,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:40,2023-12-06 13:09:19," ",1962,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:40,2023-12-06 13:09:19," ",1961,left pannel
data_type,setting_data,2023-12-06 11:29:40,2023-12-06 13:09:19," ",1960,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:40,2023-12-06 13:09:19," ",1959,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1958,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1957,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1955,left pannel
data_type,setting_data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1954,section
data_type,setting_data,2023-12-06 11:22:32,2023-12-06 13:09:20," ",1689,section
text,welcome sample 30 Nov Data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1952,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1951,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1950,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1949,left pannel
data_type,setting_data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1948,section
,,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1947,
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1946,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1945,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1944,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1943,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1942,left pannel
data_type,setting_data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1941,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1940,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1939,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1938,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1937,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1936,left pannel
data_type,setting_data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1935,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1934,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1933,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1932,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1931,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1930,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1929,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1928,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1927,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1926,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1925,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1924,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1923,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1921,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1920,left pannel
data_type,setting_data,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1919,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:40,2023-12-06 13:09:20," ",1918,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1917,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1916,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1915,left pannel middel container
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1914,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1913,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1912,left pannel
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1911,left pannel
data_type,setting_data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1910,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1909,sample 30 Nov Data
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1908,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1907,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1906,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1905,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1904,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1903,left pannel
data_type,setting_data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1902,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1901,sample 30 Nov Data
data_type,setting_data,2023-12-06 13:22:53,2023-12-06 13:22:53," ",3219,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 13:25:29,2023-12-06 13:25:29," ",5200,left pannel middel container
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1899,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1898,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1897,left pannel
data_type,setting_data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1896,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1895,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1894,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1893,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1892,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1891,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1890,imported section from xlsx
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1889,imported section from xlsx
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1888,imported section from xlsx
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1887,imported section from xlsx
text,welcome sample 30 Nov Data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1886,imported section from xlsx
text,welcome sample 30 Nov Data,2023-12-06 11:29:39,2023-12-06 13:09:20," ",1885,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1884,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1883,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1882,left pannel
data_type,setting_data,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1881,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1880,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1879,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1878,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1877,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:39,2023-12-06 13:09:21," ",1876,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1875,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1873,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1872,left pannel
data_type,setting_data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1871,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1870,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1869,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1868,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1867,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1866,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1865,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1864,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1863,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1862,left pannel
data_type,setting_data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1861,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1860,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1859,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1858,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1857,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1856,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1855,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1854,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1853,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1852,left pannel
data_type,setting_data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1851,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1850,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1849,left pannel middel container
text,welcome sample 30 Nov Data,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3362,sample 30 Nov Data
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1847,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1846,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1845,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1844,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1843,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1842,left pannel
data_type,setting_data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1841,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1840,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1839,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1838,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1837,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1836,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1835,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1833,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1832,left pannel
data_type,setting_data,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1831,section
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1830,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:38,2023-12-06 13:09:21," ",1829,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:37,2023-12-06 13:09:21," ",1828,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:37,2023-12-06 13:09:21," ",1827,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:37,2023-12-06 13:09:21," ",1826,sample 30 Nov Data
created_by,page_setting_id,2023-12-06 11:29:37,2023-12-06 13:09:21," ",1825,updated_date
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:37,2023-12-06 13:09:21," ",1824,sample 30 Nov Data
